Neighbourhood,Social Assistance Recipients,Local Employment,Businesses,Debt Risk Score,Home Prices,Child Care Spaces,City Grants Funding $,Walk Score,Watermain Breaks,Salvation Army Donors,Total Area,Total Population,Pop - Males,Pop - Females,Pop 0 - 4 years,Pop 5 - 9 years,Pop 10 - 14 years,Pop 15 -19 years,Pop 20 - 24 years,Pop  25 - 29 years,Pop 30 - 34 years,Pop 65 - 69 years,Pop 35 - 39 years,Pop 40 - 44 years,Pop 45 - 49 years,Pop 50 - 54 years,Pop 55 - 59 years,Pop 60 - 64 years,Pop 70 - 74 years,Pop 75 - 79 years,Pop 80 - 84 years,Pop 85 years and over,Home Language Category,   Language - Chinese,   Language - Tamil,   Language - Spanish,   Language - Italian,   Language - Portuguese,   Language - Tagalog,   Language - Urdu,   Language - Russian,   Language - Persian (Farsi),   Language - Korean,Child 0-14,Youth 15-24,Seniors 55 and over,Seniors 65 and over,Green Rebate Programs,Tree Cover,Green Spaces,Pollutants Released to Air,Pollutant Non-Carcinogenic TEP Score,Pollutant Carcinogenic TEP Score,Female Fertility,Premature Mortality,Student Nutrition,Health Providers,Breast Cancer Screenings,Cervical Cancer Screenings,DineSafe Inspections,Rent Bank Applicants,Social Housing Units,Social Housing Turnover,Social Housing Waiting List,Home Prices,Mid-Century Highrise Population,Percent Mid-Century Highrise Population,Mid-Century Highrise Households,Percent Mid-Century Highrise Households,Linguistic Diversity Index,TCHC Facility Amenities,PFR Program Registrations,PFR Program Free Registrations,PFR Community Space Use,PFR Permits Issued,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Fire Medical Calls,Total Major Crime Incidents,Hazardous Incidents,Fire Vehicle Incidents,Fires & Fire Alarms,Arsons,Murders,Thefts,Vehicle Thefts,Robberies,Traffic Collisions,Road Kilometres,Road Volume,TTC Stops,Pedestrian/Other Collisions,Part-Time Employment,Low Income Families,Low Income Population,Low Income Children (Age 0-17),Low Income Older Adults (Age 65+),Low Income Lone Parent Families,Lone Parent Families,Low Income Lone Parent Families Pop,Lone Parent Families Population
West Humber-Clairville,2912,58271,2463,719,317508,195,123283,57,30,640,30.09,34100,17095,17000,1865,1950,2155,2550,2855,2755,2360,1345,2175,2445,2545,2360,1975,1780,1070,895,585,410,32215,475,715,1100,925,205,850,715,15,160,95,5960,5400,8095,4330,428,2895860.846,2.078835532,1585690,1.87E+07,5737.87,59.92327882,223.8,1105,101,57.02,60.52,10,38,952,0.3125,557,317508,1810,5.3,690,6.8,0.741342682,6,5512,3,673,2243,62,390,68,175,1321,1119,210,502,705,4,0,54,288,82,778,165.0073788,5956.638889,338,727,13305,3790,7590,2060,490,560,1740,1540,4660
Mount Olive-Silverstone-Jamestown,6561,3244,271,687,251119,60,238172,61,8,222,4.6,32790,16015,16765,2575,2535,2555,2620,2400,2335,2355,1055,2530,2500,2370,2050,1610,1360,775,605,340,170,31140,275,1420,820,750,115,345,1075,50,350,60,7665,5015,5935,2955,250,1303945.159,1.048870056,31,2015,29.76,64.41002104,242.6,5132,44,50.14,55.75,2,41,1146,7,1049,251119,13395,40.9,4110,42.9,0.815741029,9,5431,5370,2650,4569,90,316,75,61,1016,690,176,59,361,3,1,7,62,78,154,33.86731754,3514.166667,70,224,945,5010,11540,4130,500,1030,2150,3230,6280
Thistletown-Beaumond Heights,1276,1311,217,718,414216,25,7296,54,9,218,3.4,10140,4920,5225,575,580,670,675,675,675,600,420,640,745,780,690,565,515,370,405,290,260,9455,95,120,570,705,105,130,300,15,115,35,1815,1350,2825,1740,118,1499129.97,0.939107957,0,0,0,57.48086291,226.1,950,14,55.22,61.15,4,7,447,1.333333333,270,414216,1260,12.4,430,13.4,0.766719586,3,2347,208,1142,2092,16,85,24,36,323,192,34,48,90,0,0,2,12,17,69,27.87682004,3545,45,109,527,1080,2350,760,130,220,560,630,1520
Rexdale-Kipling,1323,1178,144,721,392271,75,35100,58,5,336,2.5,10485,5035,5455,495,520,570,665,650,645,600,455,645,745,825,865,710,630,415,385,360,300,9855,95,70,700,475,145,180,215,30,95,30,1590,1315,3245,1905,121,756382.2761,0.240663012,35920,37632,0,45.58629776,282.7,180,6,54.28,64.69,0,19,432,4.2,186,392271,1050,10,600,15.2,0.660805938,1,63,0,3,287,15,59,20,32,305,164,55,34,94,0,1,3,18,16,96,25.23712912,7621.333333,40,62,515,1110,2170,690,110,250,670,700,1700
Elms-Old Rexdale,1683,903,67,692,233832,60,0,48,10,152,2.9,9550,4615,4935,670,720,720,725,655,570,595,350,600,750,720,710,545,475,265,235,145,100,9190,90,60,670,510,80,195,140,30,285,55,2110,1380,2110,1100,73,997510.8066,0.730089694,309,309,0,61.392833,163.6,2030,1,55.15,61.54,1,14,463,1,239,233832,2305,24.1,870,27.3,0.685554389,4,5874,36,74,2674,14,77,5,25,321,185,43,71,107,1,0,19,22,23,70,17.07821088,4115.5,29,63,392,1190,2790,1090,100,350,790,1040,2230
Kingsview Village-The Westway,4348,2799,160,717,292861,129,0,56,21,681,5.1,21725,10310,11415,1515,1470,1480,1460,1435,1385,1285,845,1415,1490,1630,1430,1220,1095,780,750,605,440,20845,315,215,970,1310,305,255,1285,150,475,185,4470,2925,5725,3405,181,1642485.293,0.310186768,332,730.4,0,59.80024969,181.9,1740,24,57.08,59.07,4,55,367,9.5,663,292861,12445,57.3,4465,58.2,0.795564999,2,33,2547,0,1,47,134,22,59,680,351,117,186,244,0,1,8,48,32,74,34.67941211,3371,70,105,748,2800,6760,2650,280,710,1580,2160,4500
Willowridge-Martingrove-Richview,2032,1843,169,750,511637,165,14425,51,5,1186,5.5,21345,10190,11145,1110,1070,1195,1320,1355,1235,1105,925,1190,1460,1570,1635,1355,1220,910,1025,895,760,20655,390,145,760,1745,370,250,485,130,105,320,3415,2660,7060,4505,259,1701247.392,0.348688375,0,0,0,44.86638537,172.6,1325,31,61.92,64.86,0,24,561,2,316,511637,7090,33.2,2890,35.5,0.713079941,3,6643,59,153,2796,18,131,22,66,640,342,111,78,228,2,0,8,49,48,179,58.1905001,2446.833333,81,80,609,1610,3490,1170,190,340,1090,1040,2840
Humber Heights-Westmount,856,896,82,753,491396,140,32400,58,31,595,2.8,10580,4740,5840,495,495,485,615,530,520,560,460,585,670,800,750,655,595,505,555,570,750,9725,70,5,405,1090,315,40,55,200,45,85,1470,1145,4090,2850,114,1242746.671,0.431646057,72,1.50E+07,0,44.99252616,207.9,380,4,58.84,67.05,0,3,669,1.8125,155,491396,2860,27,1370,35,0.759220994,9,166,0,502,796,12,41,1,28,512,106,64,37,165,1,0,1,8,15,54,25.33142639,7039,58,27,315,820,1780,630,80,230,630,670,1640
Edenbridge-Humber Valley,751,1334,153,761,873268,30,0,49,22,1192,5.5,14945,7075,7865,570,755,855,900,960,915,745,720,825,1045,1225,1250,1140,955,590,565,485,450,14620,225,5,745,900,310,105,15,355,40,190,2180,1860,4870,2770,129,2788998.758,0.544804291,0,0,0,30.9623431,193,0,10,64.79,69.06,2,10,0,0,139,873268,3630,24.3,1550,25.7,0.676580533,0,1809,0,1,1581,4,57,5,75,317,185,73,25,113,1,0,5,21,18,150,44.71755334,4880.25,63,39,541,900,1660,410,90,160,630,370,1510
Princess-Rosethorn,299,1226,74,791,971668,367,0,48,19,1139,5.2,11200,5470,5730,405,610,735,950,800,430,370,505,460,770,1045,1070,925,710,395,370,335,320,10965,325,20,110,465,145,65,35,110,70,245,1745,1750,3560,1930,169,2013219.194,0.220794818,0,0,0,24.34077079,189.8,0,6,66.97,72.66,0,4,0,0,41,971668,1180,10.5,410,11,0.570456219,0,2465,0,0,540,16,48,1,50,214,157,54,22,76,0,0,9,16,17,78,55.51501804,4781,61,49,425,460,950,250,50,50,320,170,810
Eringate-Centennial-West Deane,775,3472,229,775,423034,172,0,57,12,950,8.6,18805,8985,9835,830,845,1085,1370,1180,940,855,885,920,1355,1635,1660,1360,1155,840,840,615,465,18310,575,65,470,640,480,220,155,325,60,395,2755,2545,6165,3650,313,2351731.69,2.891261519,48397,151423.4,0,36.25192012,173.9,100,10,64.08,67.08,3,3,104,0,101,423034,3775,20.1,1540,22.3,0.690045759,3,14062,103,1497,17324,9,58,9,63,522,204,81,141,142,0,0,5,25,35,166,63.07531488,6543.222222,85,74,713,1060,2130,590,210,200,890,560,2260
Markland Wood,239,1494,106,783,505350,105,1200,69,11,953,2.9,10435,4860,5585,335,475,545,590,575,490,385,590,455,700,860,910,830,700,510,555,495,420,10145,225,15,130,210,145,80,15,180,25,180,1355,1170,4110,2575,182,1046837.578,0.224255343,441,28665,423.36,30.31709203,199.1,0,14,66.49,69.87,0,4,0,0,70,505350,3935,37.7,2050,47.5,0.630600016,0,3117,0,0,430,10,42,3,24,251,113,26,50,71,0,0,0,14,20,76,27.72983914,4689.333333,29,53,594,510,990,260,80,90,400,250,960
Etobicoke West Mall,1091,4340,146,738,298426,60,64200,74,3,424,1.7,10925,5100,5830,585,565,630,720,705,650,625,370,700,795,920,870,700,570,370,380,365,435,10170,275,150,415,140,180,315,195,200,135,205,1775,1415,3170,1900,93,444920.612,0.147624711,0,0,0,42.27642276,196.3,320,10,58.38,64.42,0,12,99,0,149,298426,5560,50.9,2160,52.7,0.757834126,1,302,174,0,2456,11,73,6,26,290,151,46,60,72,0,1,4,15,15,31,15.67267236,3598,27,33,661,980,2020,570,100,190,600,510,1540
Islington-City Centre West,2534,45794,2263,755,491678,204,12500,72,32,2012,16.4,38070,18035,20055,1935,1590,1640,2015,2315,2935,3085,1525,2835,2745,3020,2815,2535,2055,1310,1235,1200,1260,36420,1060,205,970,1125,820,705,355,790,250,1315,5165,4315,11135,6555,391,2980850.369,0.51025012,895785,1163882.03,1822.49,46.91358025,222.4,744,128,61.02,66.48,12,16,1245,5.181818182,489,491678,8890,23.4,4085,25.1,0.728864028,17,3562,100,0,42,71,268,37,207,1616,853,249,374,625,3,1,23,188,58,366,120.1567608,5704.939394,245,689,13461,6140,11590,1670,3290,570,1840,1500,4580
Kingsway South,74,2335,195,793,941223,115,0,68,4,1047,2.6,9175,4330,4845,465,630,635,530,485,305,340,450,505,745,795,725,695,615,355,345,265,305,9065,100,5,100,220,95,55,5,60,40,65,1720,1015,3010,1695,108,1384810.86,0.295550892,470,1004,0,41.16094987,130.1,75,9,71.8,74.95,0,0,0,0,16,941223,295,3.2,160,4.5,0.381137151,0,9891,311,199,2984,6,37,1,29,251,120,54,18,112,0,0,2,15,30,99,30.48819635,5078.333333,33,56,1008,260,470,90,20,0,230,80,540
Stonegate-Queensway,1593,5932,595,760,690949,283,0,67,24,1440,7.9,24690,11935,12745,1395,1235,1265,1295,1190,1270,1575,940,1865,1990,2190,2120,1790,1515,830,755,635,825,23980,330,25,455,755,555,260,35,635,65,135,3895,2465,7295,3985,306,2514072.745,0.755267148,17931,41707,103.68,43.48823867,178.1,200,66,62.59,70.24,4,12,129,0,280,690949,640,2.6,320,3.1,0.641219817,0,10222,126,416,3008,19,131,10,86,729,326,135,81,167,1,0,9,50,21,265,84.63624626,7115.142857,106,155,1908,1740,3080,730,140,280,1010,700,2350
Mimico,2634,11549,619,741,429941,195,3000,71,6,873,6.9,26550,12925,13625,1275,875,820,975,1360,2095,2565,1290,2355,2065,2345,2240,1965,1700,970,690,550,415,25665,755,45,775,675,590,475,40,735,155,235,2970,2345,7590,3935,241,1058931.427,0.716898274,96927,266439.9,114.85,44.52626411,250.7,525,22,56.12,65.23,8,36,947,8.111111111,547,429941,3880,14.6,2430,17.8,0.63893581,11,3873,23,199,4712,52,201,14,139,914,466,172,156,378,0,0,9,35,16,171,52.8735019,4599.75,126,134,1786,2720,4390,880,310,410,1300,990,3030
New Toronto,1600,5289,368,719,460811,90,0,79,6,279,3.5,10905,5300,5600,565,460,455,615,775,755,810,420,860,855,965,895,780,625,360,300,170,235,10455,155,30,240,75,145,295,35,160,20,115,1495,1385,2910,1485,109,522508.4252,0.593630152,34919,98637,0,46.07329843,333.6,1005,14,52.45,64.08,10,18,1189,0.96,389,460811,490,4.5,385,7.4,0.558908268,7,4640,71,120,2378,42,137,8,69,543,321,83,45,223,0,0,0,28,37,109,27.90971541,4541.75,41,71,1836,1430,2410,580,90,250,620,650,1530
Long Branch,1024,1143,170,724,459088,54,0,72,11,308,2.3,9630,4745,4890,480,420,425,480,650,630,660,390,725,760,940,875,730,630,285,195,190,155,9330,110,15,270,105,160,225,30,175,30,25,1315,1145,2565,1205,92,750363.4083,0.323676887,2405,3475.8,0,43.03147078,300.8,170,4,49.9,62.88,2,20,106,0,177,459088,1220,12.7,690,15.3,0.54824702,0,2159,3,14,854,13,78,21,41,327,184,56,22,103,0,0,2,17,12,88,26.22108051,2514.5,21,43,357,940,1520,350,70,170,510,420,1200
Alderwood,516,4839,309,764,504233,120,0,70,20,599,5,11900,5765,6130,610,495,555,650,685,680,835,500,780,890,1055,1070,885,715,395,405,355,325,11565,180,15,160,590,425,260,10,190,20,40,1660,1325,3600,1990,192,1086909.783,0.292452196,64042,3099019,107370,40.2359882,271,75,13,57.97,66.16,1,2,84,2.5,69,504233,630,5.3,350,7.5,0.606808002,0,3994,47,145,1221,13,49,15,77,331,189,54,66,110,0,0,4,19,12,125,43.87582539,4381,60,56,951,640,1090,240,90,100,570,250,1360
Humber Summit,1659,17950,1373,715,354381,53,0,61,7,179,7.9,12530,6180,6340,720,730,855,880,860,775,780,580,830,865,970,715,630,620,635,575,330,145,12045,125,130,650,2220,130,85,1160,15,105,15,2315,1745,3545,2270,84,1017894.543,0.686271868,521916,2.46E+07,7785.9,56.83060109,234.1,1770,14,62.53,60.81,2,7,124,0.444444444,204,354381,1935,15.4,525,13.8,0.815468009,3,1884,0,964,1687,11,98,8,76,566,289,73,117,208,0,1,6,59,30,286,48.83422843,4400.090909,103,205,2141,1570,3330,1030,210,240,700,690,1900
Humbermede,2590,5799,374,695,314721,55,0,58,4,200,4.4,15850,7700,8150,1125,1030,1005,1100,1160,1120,1145,520,1100,1190,1205,1080,825,760,525,440,305,215,15040,275,225,1585,1270,115,330,1045,25,40,115,3175,2265,3590,2000,80,1018657.518,0.918793036,699603,2206558.6,13030.8,62.16450216,180.3,2715,16,59.85,61.43,0,16,218,0.166666667,424,314721,3305,20.9,1130,22.1,0.79021258,0,3022,21,2597,3901,35,131,34,58,329,345,49,98,74,2,0,2,45,40,103,28.13528583,4377.333333,46,158,624,1860,4030,1330,210,420,1060,1150,2810
Pelmo Park-Humberlea,798,2855,152,735,412618,0,0,57,2,258,4.2,8705,4200,4505,475,470,530,620,515,480,495,345,570,665,750,700,540,420,435,325,220,160,8380,170,115,605,1505,410,120,25,5,30,25,1475,1145,2465,1505,89,1068349.305,0.636607684,2735,6928.37,21.35,49.46727549,210.9,0,4,61.2,62.94,1,4,176,0.333333333,149,412618,520,6,195,6.5,0.701375163,2,239,0,685,1038,43,63,5,37,347,222,42,186,115,1,0,6,29,39,110,32.44376816,5889.857143,47,173,833,710,1430,450,90,170,530,450,1350
Black Creek,6408,3856,306,661,235143,175,45890,62,3,126,3.4,22060,10260,11795,1805,1720,1585,1675,1705,1630,1405,760,1395,1570,1540,1430,1095,920,665,515,340,280,20975,745,725,1310,1050,120,310,185,105,95,25,5100,3390,4580,2570,82,742477.3148,0.410027147,6055,14395.8,0,63.50817823,214.8,3610,36,54.35,59.38,8,27,1432,5.818181818,829,235143,10490,47.6,3960,54.7,0.747526043,18,172,3101,3631,6093,90,242,36,75,786,572,169,99,263,2,1,4,59,65,135,23.51819455,7326.3,94,182,759,3680,7940,2950,300,1120,2190,3260,6200
Glenfield-Jane Heights,7263,8323,587,678,304262,173,196977,61,20,247,5.2,31395,14755,16635,2110,2135,2290,2445,2105,2050,1865,1220,1905,2185,2285,2175,1640,1490,1190,1110,765,435,30080,1445,485,3695,3475,355,485,125,90,215,40,6565,4545,7840,4735,177,1209851.201,0.808033611,860,8434,260,55.82177385,225.9,5855,93,60.44,61.63,10,30,1587,4.269230769,949,304262,8745,27.9,2985,29.8,0.77360505,16,2333,3956,4928,6448,117,299,72,84,911,734,197,98,362,3,1,4,37,120,222,41.62227043,3632.714286,88,340,1714,4420,9610,3560,380,1380,2920,4040,8210
Downsview-Roding-CFB,5618,20150,985,692,400486,238,399478,59,26,538,14.9,34650,16700,17965,2220,1905,1915,2050,2185,2490,2655,1285,2380,2585,2795,2560,2020,1630,1255,1195,890,615,33265,730,200,3470,5040,835,1565,130,180,205,80,6040,4250,8910,5240,235,2455776.666,0.852075706,256337,427209.6,2169.2,58.01649567,227.1,4377,88,60.39,63.3,58,36,527,2.777777778,1060,400486,6095,17.6,2685,20.3,0.752538706,3,4603,1899,2286,4136,126,402,50,187,1262,981,233,365,441,5,3,8,128,77,300,87.98992412,2825.888889,166,604,4334,4060,7750,2300,300,910,2390,2430,6110
York University Heights,4720,42885,2643,698,359372,156,23870,60,13,408,13.2,27715,13580,14125,1645,1385,1380,1750,3280,2815,2120,870,1800,1820,1940,1750,1335,1150,890,825,545,395,26340,1750,1175,1475,2280,285,930,580,430,370,265,4405,5040,6010,3545,167,2067412.314,0.887333748,203624,962405.5,205788.1,52.58659469,186.5,4065,67,59.93,58.9,46,43,511,2,727,359372,9845,35.5,4065,39.4,0.801404621,1,3231,601,1853,4529,56,282,49,150,1007,776,186,143,798,2,2,16,122,99,548,67.60074578,5546.25,235,598,11541,4490,7950,1870,280,690,1780,1810,4610
Rustic,1924,550,48,692,493442,26,0,60,4,156,2.1,9950,4475,5480,765,730,750,670,635,630,575,395,600,670,695,605,470,410,395,445,300,220,9625,140,190,680,1510,440,110,65,20,30,10,2235,1300,2630,1760,56,550083.8931,0.19744749,0,0,0,64.03162055,210.3,1182,2,62.86,62.96,0,9,1435,3.117647059,349,493442,3355,33.7,1225,33.7,0.712584247,3,2532,2876,303,528,25,86,14,43,380,233,92,83,181,0,1,5,18,41,99,20.02981099,7692,30,36,163,1340,2980,1240,90,540,1050,1560,2900
Maple Leaf,919,737,47,721,540741,90,0,66,8,163,2.5,10195,4935,5260,555,495,565,560,580,640,665,445,670,800,805,725,550,500,490,505,370,265,9605,100,105,680,2295,480,400,70,40,20,15,1640,1140,3100,2055,82,803509.8331,0.167833165,1011,65715,970.56,50.20576132,192.9,700,4,57.9,62.01,0,5,175,0,160,540741,2150,21.1,725,20.4,0.776084272,0,0,0,0,2,9,37,10,29,303,117,29,72,85,0,0,0,13,19,76,23.05914766,3384.666667,26,41,142,880,1770,500,100,170,500,440,1220
Brookhaven-Amesbury,3420,4825,466,687,352428,54,16300,62,4,201,3.5,17785,8315,9470,1315,1110,1130,1230,1215,1360,1255,545,1140,1300,1420,1350,1000,770,515,450,370,305,16950,465,250,1580,1210,985,480,115,45,55,30,3540,2460,3950,2195,113,834834.6989,0.405956959,4409,3.43E+07,1695.2,56.4206269,218.3,1030,45,55.65,62.39,1,36,589,2.777777778,603,352428,7620,42.8,2935,45.7,0.732061329,3,2655,40,950,2822,33,143,52,58,457,371,86,31,178,3,0,6,47,32,108,29.67583066,4326.375,57,188,1177,2320,4780,1630,170,690,1500,1880,4020
Yorkdale-Glen Park,1502,24685,1468,729,421045,82,59894,72,13,335,5.9,14685,6750,7940,640,690,815,835,845,890,895,610,860,1050,1085,1030,850,765,690,755,690,700,13685,640,120,625,2950,810,605,60,85,70,50,2140,1690,5070,3450,246,692811.6556,0.236609421,82979,150769,747.84,44.03409091,212.3,1385,46,60.88,63.93,9,6,798,7.7,292,421045,2730,18.6,1130,21.6,0.772607586,0,1399,15,58,1299,60,181,11,67,812,551,128,174,286,1,0,14,137,81,246,49.71453259,4193.75,155,1007,7556,1470,2850,850,190,320,930,940,2430
