Neighbourhood,Social Assistance Recipients,Local Employment,Businesses,Debt Risk Score,Home Prices,Child Care Spaces,City Grants Funding $,Walk Score,Watermain Breaks,Salvation Army Donors,Total Area,Total Population,Pop - Males,Pop - Females,Pop 0 - 4 years,Pop 5 - 9 years,Pop 10 - 14 years,Pop 15 -19 years,Pop 20 - 24 years,Pop  25 - 29 years,Pop 30 - 34 years,Pop 65 - 69 years,Pop 35 - 39 years,Pop 40 - 44 years,Pop 45 - 49 years,Pop 50 - 54 years,Pop 55 - 59 years,Pop 60 - 64 years,Pop 70 - 74 years,Pop 75 - 79 years,Pop 80 - 84 years,Pop 85 years and over,Home Language Category,   Language - Chinese,   Language - Tamil,   Language - Spanish,   Language - Italian,   Language - Portuguese,   Language - Tagalog,   Language - Urdu,   Language - Russian,   Language - Persian (Farsi),   Language - Korean,Child 0-14,Youth 15-24,Seniors 55 and over,Seniors 65 and over,Green Rebate Programs,Tree Cover,Green Spaces,Pollutants Released to Air,Pollutant Non-Carcinogenic TEP Score,Pollutant Carcinogenic TEP Score,Female Fertility,Premature Mortality,Student Nutrition,Health Providers,Breast Cancer Screenings,Cervical Cancer Screenings,DineSafe Inspections,Rent Bank Applicants,Social Housing Units,Social Housing Turnover,Social Housing Waiting List,Home Prices,Mid-Century Highrise Population,Percent Mid-Century Highrise Population,Mid-Century Highrise Households,Percent Mid-Century Highrise Households,Linguistic Diversity Index,TCHC Facility Amenities,PFR Program Registrations,PFR Program Free Registrations,PFR Community Space Use,PFR Permits Issued,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Fire Medical Calls,Total Major Crime Incidents,Hazardous Incidents,Fire Vehicle Incidents,Fires & Fire Alarms,Arsons,Murders,Thefts,Vehicle Thefts,Robberies,Traffic Collisions,Road Kilometres,Road Volume,TTC Stops,Pedestrian/Other Collisions,Part-Time Employment,Low Income Families,Low Income Population,Low Income Children (Age 0-17),Low Income Older Adults (Age 65+),Low Income Lone Parent Families,Lone Parent Families,Low Income Lone Parent Families Pop,Lone Parent Families Population
Englemount-Lawrence,2733,3495,175,730,577889,105,18000,70,13,482,3.6,22080,9675,12415,1675,1530,1550,1500,1320,1315,1470,715,1450,1380,1370,1365,1160,955,655,665,715,1305,20580,285,45,630,545,335,1900,45,600,155,65,4765,2820,6170,4050,379,924958.528,0.20662549,0,0,0,62.99516908,230.5,2895,8,60.03,63.4,2,9,1688,2.210526316,379,577889,2785,12.6,1465,18,0.647173537,6,3829,2470,787,3368,17,147,19,82,669,376,140,69,246,2,0,5,27,79,198,39.79200011,3056.1,90,185,1331,2470,5360,1870,230,530,1270,1580,3510
Clanton Park,734,5011,357,740,605585,130,0,63,11,268,4.2,14610,6750,7865,950,760,870,880,835,890,1115,480,1150,1155,1220,1055,860,770,450,400,390,400,13985,250,25,365,775,120,1705,15,585,60,115,2575,1725,3730,2100,126,1017592.787,0.097684055,332,21580,318.72,49.40312213,183.6,0,48,60.71,65.88,23,6,549,1.363636364,256,605585,755,5.2,390,7,0.680043956,1,338,0,0,85,15,121,12,60,353,291,97,95,148,1,1,10,42,30,148,42.6697449,3513.25,57,234,1155,1410,2560,560,180,190,650,470,1530
Bathurst Manor,1018,3370,244,745,568877,105,2800,61,20,300,4.8,15435,7380,8050,850,710,750,885,925,1000,1120,565,1030,1170,1220,1190,925,840,505,540,560,655,14755,340,30,475,870,210,840,15,1695,200,240,2315,1805,4570,2805,165,1807970.566,1.311810051,54508,116138,0.72,42.58484426,161.7,0,41,61.46,64.64,9,6,385,0.5,232,568877,2625,17,1230,20.3,0.768958389,2,1169,0,271,1274,9,56,8,58,675,170,108,89,167,2,0,5,25,9,177,41.4372944,5594.4,69,146,881,1440,2620,560,200,180,650,460,1560
Westminster-Branson,2906,3027,83,730,372380,45,4000,61,2,381,3.7,25445,11700,13755,1245,1080,1210,1500,1685,1765,1715,950,1720,1800,1855,1970,1625,1580,1075,895,865,925,24250,480,70,630,110,55,2165,75,7435,555,680,3525,3165,7905,4710,159,1381709.352,0.958620906,168,10920,161.28,38.19444444,187.5,0,5,59.75,62.28,1,15,530,4.2,1077,372380,15251,59.9,6355,63.2,0.815904177,1,7368,273,2542,6575,23,128,14,98,659,323,71,18,169,0,0,7,26,27,150,23.39752438,4357.75,36,221,652,3500,6540,1350,580,470,1330,1140,3180
Newtonbrook West,2124,9091,483,737,557468,98,22705,69,22,544,4.7,23050,10890,12165,1045,820,990,1255,1775,1890,1660,910,1630,1665,1965,1910,1450,1320,840,765,595,595,21890,1660,45,385,645,95,1815,125,3260,1820,2015,2850,3045,6455,3700,210,1473787.509,0.16749045,20,1300,19.2,37.66478343,154.1,650,55,60.78,61.49,10,1,261,2,670,557468,6375,27.7,2610,30.3,0.863726623,0,2991,13,1036,3185,19,140,17,127,631,392,108,48,147,0,0,8,36,45,260,46.89685527,5774.6,95,351,2038,3480,6690,1150,470,340,1000,790,2360
Willowdale West,515,7110,363,766,541247,248,0,78,12,633,2.9,15005,7085,7920,670,505,495,565,1140,1345,1310,675,1080,1010,980,1045,1030,860,640,600,545,505,14535,2020,40,235,365,75,235,50,975,1280,1175,1665,1700,4860,2970,179,1169622.482,0.145828928,0,0,0,42.27093873,180.2,0,31,65.83,65.32,17,1,527,9.25,176,541247,1630,10.9,1070,16,0.802465231,0,3078,243,3145,3522,18,85,9,23,345,168,73,13,87,2,0,4,10,19,167,32.29755967,4808.285714,25,111,687,1670,3050,390,310,120,450,270,1030
Lansing-Westgate,468,12254,488,758,646460,75,12000,77,10,695,5.4,14640,6950,7695,845,725,745,795,965,1185,1290,515,1170,1175,1150,1035,855,750,405,360,330,360,14285,995,15,320,165,90,460,45,770,630,580,2300,1755,3565,1960,156,2818530.253,0.983552249,86,1.50E+07,0,49.19653894,147.4,276,37,65.57,69.03,5,3,0,0,169,646460,1765,12.1,880,14.7,0.673235447,0,14606,175,2306,4818,13,70,19,46,432,186,97,114,159,0,0,4,24,10,173,39.31779631,6920.090909,44,142,1410,7560,12430,480,190,140,520,300,1200
Bedford Park-Nortown,484,8187,676,776,1191040,60,28000,73,29,1157,5.5,23185,10720,12470,1465,1620,1630,1695,1240,965,1180,930,1485,1730,1890,1805,1570,1310,750,685,625,625,22655,430,5,335,410,90,1010,15,300,245,110,4705,2930,6535,3650,211,2323264.953,0.091683395,314,18009.2,264.96,47.47663551,114.9,150,50,70.12,71.82,13,5,236,2,141,1191040,1795,7.7,1120,12.9,0.438565178,1,371,17,1772,2618,4,71,4,219,895,375,192,162,323,2,1,18,42,16,258,62.50510549,3124.076923,75,167,1809,1340,2440,500,140,140,630,340,1540
St.Andrew-Windfields,606,13023,591,774,1363202,124,0,60,18,1066,7.3,17955,8610,9345,690,880,1155,1480,1290,965,775,885,940,1425,1650,1475,1335,1180,660,450,415,270,17485,2605,75,330,170,70,265,85,290,865,805,2745,2780,5200,2690,206,3122841.342,0.541326375,1599,1599,0,26.54867257,147.1,60,34,71.59,68.61,0,3,0,0,133,1363202,2195,12.2,955,14.8,0.692811985,0,1866,0,0,2533,5,63,10,112,502,235,108,200,249,0,0,7,26,12,302,59.74934713,3595.5,151,123,1694,1590,3350,730,230,140,600,390,1470
Bridle Path-Sunnybrook-York Mills,37,11756,58,788,1849084,0,6500,58,10,749,8.8,8715,4180,4530,285,480,645,765,595,315,270,470,335,565,810,765,715,645,340,265,235,200,8505,615,5,65,110,30,110,0,130,260,50,1425,1360,2870,1515,85,5509235.049,1.732820954,7653,16709.4,0,25.87346553,108,50,8,70.44,71.44,2,0,0,0,24,1849084,0,0,0,0,0.454934522,0,963,0,0,2109,2,16,10,50,305,104,92,32,290,0,0,4,11,11,128,48.36508558,7224.5,66,205,4065,460,810,150,60,40,210,100,500
Banbury-Don Mills,1030,25614,834,776,613647,255,0,67,12,2145,10,26910,12485,14430,1180,1205,1325,1440,1280,1420,1500,1280,1705,2275,2305,1970,1635,1610,1225,1140,1215,1235,25780,3355,145,360,140,110,515,220,305,875,510,3685,2705,9340,6095,305,4258009.808,1.279334149,36229,4797521,254,39.10582909,156.1,300,65,67.07,67.37,10,13,304,1.142857143,279,613647,4755,17.7,2570,21.8,0.701282364,0,3318,0,2150,9186,21,97,17,88,908,279,131,149,299,1,0,23,23,10,166,75.0681627,4750.642857,128,319,4996,2000,3790,790,360,240,1020,600,2350
Victoria Village,2593,7035,431,730,365107,134,9000,71,13,586,4.7,17180,7960,9230,1030,835,870,920,980,1170,1210,720,1175,1310,1360,1220,1030,915,720,655,535,530,16140,605,465,350,200,85,540,385,90,510,100,2735,1910,5135,3195,156,1541958.559,0.682855326,38841,51070.2,10.56,53.1655225,240.2,725,9,60.88,62.32,2,15,891,7.083333333,459,365107,5410,31.5,2345,32.2,0.751125721,2,1546,2483,26,2836,14,107,6,48,392,221,62,59,154,0,2,9,18,17,122,34.27607748,5074.666667,73,113,1337,2040,4320,1340,230,370,1040,1030,2590
Flemingdon Park,4348,5088,185,721,204104,203,235152,63,2,266,2.5,22165,10615,11555,1555,1420,1480,1465,1620,1675,1615,820,1595,1630,1705,1500,1160,1055,695,555,370,245,20915,1235,1030,550,30,60,1100,1635,325,1360,235,4455,3085,4945,2710,89,1007142.635,0.763803897,0,0,0,55.54624197,199.4,5660,8,54.31,56.89,4,16,717,13.6,1141,204104,13890,62.7,5120,63.7,0.877982435,5,492,6804,3209,5621,35,159,23,54,640,354,90,113,225,3,0,30,13,40,120,11.77007859,5799.375,48,95,629,3290,7800,2620,360,510,1160,1400,3030
Parkwoods-Donalda,3664,2802,209,731,553698,441,0,63,10,1211,7.5,34620,16380,18230,2040,1920,2140,2350,2360,2255,2325,1320,2440,2650,2935,2615,2040,1680,1125,1015,845,580,33350,2255,475,1095,290,140,965,610,490,1150,535,6110,4720,8605,4880,331,3066863.368,0.852834331,1964,9486,0,42.63013699,196.8,2320,32,61.64,65.5,1,63,786,0.875,712,553698,12920,37.3,5355,40.7,0.720621189,4,2201,4,583,5332,34,177,10,106,895,423,151,233,254,1,0,4,41,51,312,58.27994577,4192.777778,109,173,859,3370,7200,2200,390,630,2050,1700,5140
Pleasant View,791,1162,124,767,463859,90,0,66,15,423,3,16145,7775,8360,740,705,825,950,1060,1090,855,825,1080,1385,1365,1200,1030,985,785,610,400,235,15555,5040,190,190,675,115,250,170,125,505,165,2275,2010,4875,2875,301,840921.3955,0.155828919,0,0,0,37.01996928,132,0,11,68.93,64.32,0,9,0,0,205,463859,3095,19.2,1250,22.6,0.852900002,0,2928,0,1659,4405,13,44,9,23,296,127,39,68,86,0,0,3,10,25,152,32.86586301,4517,43,77,547,1730,3540,760,310,180,690,470,1650
Don Valley Village,2137,5640,373,756,478489,229,15200,79,8,702,4.1,26735,12670,14060,1505,1365,1290,1580,1795,1805,1935,1130,2200,2295,2155,1790,1500,1410,1020,850,610,530,25480,6655,345,620,95,65,905,320,585,1885,615,4165,3370,7025,4125,307,1379175.085,0.2393423,0,0,0,44.13729555,146.1,1385,58,64.43,64.27,0,16,156,0.25,572,478489,10870,40.7,4345,44.6,0.86426814,4,5761,0,2625,6984,34,174,18,123,636,449,102,96,177,1,0,10,50,40,185,39.98616921,6050.3,57,251,3208,3430,7040,1590,490,360,1080,920,2630
Hillcrest Village,694,11806,424,775,484743,180,25000,68,24,587,5.3,17650,8240,9430,555,690,855,1175,1305,955,745,975,950,1385,1475,1260,1250,1235,920,825,615,495,17195,7580,130,210,50,35,125,135,200,670,440,2090,2475,6310,3830,356,1554513.434,0.386535486,246384,251002,35.52,25.68008705,126.9,0,19,69.6,61.75,15,0,1028,6.875,252,484743,2690,15.2,1500,22.9,0.844524361,9,1007,88,409,2319,9,50,13,63,395,184,52,108,139,0,0,6,27,16,174,41.08455447,3566.222222,80,170,2793,2180,4350,920,530,270,660,670,1670
Bayview Woods-Steeles,666,2207,93,777,784397,180,0,57,13,541,4.1,13535,6260,7275,420,545,675,945,945,760,490,745,625,910,1075,1015,920,1000,745,605,490,615,12870,3695,75,155,175,55,80,60,255,795,745,1650,1880,5135,3230,237,1873417.781,0.910849666,0,0,0,21.72284644,171.5,380,10,70.49,64.21,1,2,170,6.333333333,181,784397,2775,20.5,1350,28.6,0.816541785,4,9697,36,721,1818,4,25,10,36,388,96,52,29,128,0,0,1,15,5,107,29.92753678,10812,37,79,1068,1420,3080,710,320,170,480,480,1240
Newtonbrook East,685,4357,400,757,626626,30,30649,64,17,591,4.1,16425,7805,8620,585,525,635,830,1360,1525,1250,725,1040,1085,1195,1240,1105,1060,650,555,530,565,15545,3950,40,150,405,70,230,50,335,2045,1770,1730,2195,5160,3015,181,1563158.503,0.180901122,6461,28254.8,130.56,30.12820513,173.1,28,50,63.89,61.09,14,1,300,2.6,256,626626,1015,6.2,485,7.8,0.855223854,0,1064,19,243,1627,5,114,10,116,822,275,79,122,190,0,1,3,15,11,151,39.49436862,4012.333333,96,145,1644,2380,4600,690,340,160,480,380,1120
Willowdale East,1189,16026,849,759,540911,209,20000,84,20,1266,5,45025,21365,23690,2010,1475,1520,2375,4095,5120,4715,1490,3705,3410,3400,3190,2745,2210,1195,890,740,715,43655,12225,140,755,360,220,380,260,1290,4940,4480,4995,6495,9995,5030,344,1884788.953,0.158443044,542,542,0,36.19265472,147.4,0,64,63.79,60.85,23,3,208,2,424,540911,3695,8.2,1745,8.9,0.856126209,5,4706,39,985,3409,18,201,23,160,990,485,191,145,504,0,0,10,37,36,524,62.46088057,5919.692308,61,296,2784,6260,13330,2250,790,490,1430,1170,3370
Bayview Village,626,9377,460,768,533089,60,0,71,15,742,5.2,17675,8245,9420,665,620,765,955,1190,1675,1415,765,1345,1335,1310,1240,1135,1050,680,530,490,525,17075,3800,75,295,110,105,290,85,265,1525,1000,2040,2130,5170,2995,183,2397850.774,1.121266472,0,0,0,31.40877598,117.1,0,128,68.01,65.4,2,4,122,3,178,533089,2120,12,885,11.9,0.80702336,2,0,0,0,2384,10,42,3,37,481,132,96,81,147,1,0,6,18,16,99,37.07799855,3854.625,43,302,4173,2090,4250,860,330,210,670,570,1650
Henry Farm,1502,18728,717,736,372110,105,12468,76,4,338,2.6,11340,5405,5935,780,745,660,660,835,995,1010,330,1025,920,865,710,580,465,275,230,150,110,10705,1655,195,220,35,35,520,380,210,805,200,2180,1485,2155,1105,80,685339.2263,0.212016651,931,931,0,47.87339268,150.1,0,77,61.6,63.13,2,8,0,0,359,372110,6215,54.8,2200,53.5,0.857459432,0,379,0,0,1566,14,39,5,54,237,134,49,136,97,0,0,2,10,10,108,16.06263543,5659,27,112,3148,2060,4220,870,190,170,460,450,1140
O'Connor-Parkview,2984,4677,346,725,538203,75,8000,67,12,858,4.9,18315,8705,9610,1080,1050,1055,1165,1145,1080,1160,710,1175,1475,1595,1580,1260,980,565,465,400,375,17775,435,270,295,255,100,565,375,110,280,60,3190,2325,4780,2535,219,2038276.859,1.071735422,18416,118050.2,1326.36,49.09222948,230.3,1250,18,62.87,64.78,5,21,693,2.294117647,516,538203,3800,20.7,1655,22.4,0.585864484,0,1205,29,80,391,34,264,21,43,603,409,125,47,205,0,0,7,15,25,128,44.29355774,2532.076923,95,93,998,2000,3910,1170,160,410,1080,1070,2670
Thorncliffe Park,3818,9847,449,724,313618,21,38000,73,5,471,3.1,19225,9275,9965,2050,1675,1340,1120,1085,1505,1600,520,1680,1540,1190,990,800,705,455,380,280,325,18150,215,245,385,30,45,780,4855,105,960,75,5070,2220,3485,1985,19,745856.3539,0.596240135,139415,297984.76,422.7,87.64769066,211.2,1450,18,49.73,54.51,7,11,551,1.444444444,1105,313618,14785,76.9,5110,76.1,0.83828852,0,884,109,686,2490,30,130,8,25,609,253,87,41,227,2,0,4,39,17,154,13.29149971,6611.5,62,256,3016,3030,8700,3370,250,290,700,750,1780
Leaside-Bennington,239,2901,313,791,1071823,274,0,77,18,1506,4.8,17010,8170,8855,980,1250,1185,1150,880,560,670,725,1075,1525,1535,1465,1115,925,465,400,385,690,16460,340,10,160,150,70,100,15,80,95,85,3420,2025,4700,2665,220,2166689.571,0.797010748,282,11162,163.2,42.12314225,147.4,0,10,67.52,74.51,0,5,89,0,58,1071823,485,2.9,290,4.4,0.299546269,0,4902,21,861,4619,5,40,6,63,326,178,132,59,150,0,0,8,24,32,280,48.30630623,8701.583333,62,92,1301,590,930,180,40,50,490,170,1180
Broadview North,1306,1286,129,728,518555,57,79513,74,3,317,1.7,11565,5440,6120,665,490,430,495,640,920,1025,455,1050,1050,995,830,730,690,375,305,250,180,11080,415,70,250,95,60,315,50,120,65,50,1590,1135,2970,1545,85,664464.2361,0.399753886,0,0,0,46.32426989,226.9,421,10,59.24,64.02,13,9,238,1.2,326,518555,5570,48.2,2855,50.9,0.695815386,0,0,0,0,1,20,106,15,24,302,186,64,66,102,1,0,3,9,9,47,15.20816339,3892,44,51,646,1250,2150,500,110,200,590,480,1380
Old East York,569,1017,134,756,581398,88,0,69,0,444,2.3,9115,4435,4690,460,470,435,440,475,500,600,360,660,745,905,760,670,600,330,290,210,215,8795,345,5,90,185,50,220,60,35,35,35,1365,910,2680,1410,127,719730.3848,0.293560692,0,0,0,40.14336918,233.3,610,3,61.88,67.94,3,4,78,0.5,113,581398,720,7.9,390,10.1,0.559600088,0,4992,91,136,307,22,55,3,31,306,134,64,98,73,0,0,4,8,11,60,23.84081641,0,74,60,341,630,1120,280,60,110,410,260,940
Danforth-East York,1049,3715,167,763,518568,214,2600,77,3,587,2.2,16710,7985,8725,1085,795,720,750,795,955,1495,650,1500,1440,1425,1245,1140,990,550,475,405,290,16195,1095,30,215,490,120,260,175,90,75,60,2610,1545,4480,2355,262,409082.5071,0.070298427,143,9295,137.28,49.86757473,220.3,0,33,62.77,69.92,5,8,287,11.5,231,518568,945,5.7,525,7.6,0.592479488,0,288,73,0,339,14,82,4,41,378,156,93,24,110,0,0,2,8,5,106,35.28021008,3039.75,53,67,1599,1250,2340,590,150,240,760,590,1770
Woodbine-Lumsden,582,558,56,748,440700,95,0,73,1,240,1.2,7825,3745,4080,420,345,310,360,405,470,640,305,645,670,735,700,590,470,285,205,170,90,7600,580,0,105,125,55,170,40,35,20,25,1060,770,2130,1065,122,320284.0376,0.098423722,0,0,0,40.97859327,260.5,261,1,59.48,66.49,1,5,201,11,134,440700,820,10.5,530,15.2,0.492190963,0,3042,110,235,5162,4,60,6,12,216,101,53,23,66,1,0,2,7,10,70,16.07900302,2022.25,39,27,165,660,1100,240,70,120,410,290,990
Taylor-Massey,2635,1399,157,721,254151,60,119039,77,0,237,1.1,15595,7665,7920,1195,1000,835,760,1000,1245,1295,415,1435,1350,1235,1085,900,635,375,315,260,235,14800,580,260,185,45,60,355,675,110,180,90,3040,1765,3140,1615,81,328675.3563,0.198037905,22,48.4,0,65.09248327,272.2,1890,9,58.04,58.35,5,11,353,3.333333333,919,254151,10710,68.7,4435,70.5,0.772955853,1,103,1775,430,1754,28,187,19,51,523,343,89,18,212,1,1,7,22,28,89,10.68841484,3575.5,27,73,715,2350,5180,1560,150,330,750,820,1850
East End-Danforth,1901,3636,516,741,535867,330,32880,85,1,629,2.6,20840,9985,10865,1320,1145,1070,1135,1095,1330,1580,720,1875,1875,1930,1695,1405,1195,495,375,315,295,20075,940,45,270,205,135,375,350,75,100,90,3525,2235,4815,2215,284,782726.8386,0.126726419,0,0,0,44.74074074,330.7,60,46,60.69,67.34,14,14,1000,0.90625,599,535867,2600,12.5,1505,16.5,0.432606741,3,8000,9,162,847,46,252,15,102,866,468,146,66,277,1,0,4,10,39,129,31.17002467,0,89,129,1576,2030,3520,900,120,360,1050,890,2600
The Beaches,672,5694,531,764,751945,167,0,88,2,1244,3.6,21135,10040,11100,1265,1275,1145,1045,1080,1120,1460,900,1745,1990,1990,1740,1615,1325,505,390,270,245,20820,245,25,180,175,75,85,10,85,40,45,3695,2120,5255,2320,323,1416720.313,0.614909147,58703,152295,175.68,41.24742571,221.2,0,24,64.61,73.55,5,17,193,0.333333333,143,751945,220,1,150,1.6,0.245249178,0,5921,503,233,4143,12,114,14,119,369,292,162,23,165,0,0,7,15,11,193,43.72176959,3434.25,44,131,1868,1150,1760,370,60,170,720,420,1700
Woodbine Corridor,906,1896,146,749,521549,214,37500,85,2,358,1.6,11705,5640,6070,890,595,550,525,590,675,995,345,1230,1125,1150,935,795,590,235,210,170,85,11410,615,25,135,120,75,70,85,35,25,45,2055,1120,2405,1030,214,669942.2878,0.104449371,1,5000000,0,53.83838384,323.1,975,11,61.21,71.37,2,7,841,0.703703704,242,521549,405,3.5,200,3.8,0.401583171,4,2273,5,30,244,23,139,11,47,445,239,95,30,125,2,1,1,4,13,75,20.75984929,5104,35,57,455,1060,1770,450,50,210,560,510,1370
Greenwood-Coxwell,1762,2342,315,738,490920,94,5700,88,2,329,1.7,14075,6885,7195,975,595,590,655,835,980,1295,460,1420,1200,1200,1125,980,660,400,310,240,185,13660,1910,55,210,155,70,115,400,20,35,35,2160,1480,3210,1585,249,530193.1089,0.087044064,1358,1358,0,45.44734759,308.8,2030,23,57.98,65.02,11,7,919,0.96969697,385,490920,625,4.4,365,6.1,0.56769881,3,2772,0,136,532,30,183,18,96,461,392,98,40,148,2,0,2,21,42,91,23.60064249,2621.5,44,90,688,1610,2920,740,170,260,720,680,1710
Danforth,626,2786,414,755,585093,152,23810,86,2,256,1.1,9450,4605,4845,635,505,400,445,565,640,780,410,825,725,740,705,600,510,325,270,190,175,9165,625,10,100,525,70,65,105,25,20,45,1555,1010,2465,1355,140,282212.74,0.001837121,0,0,0,46.33204633,276,320,53,58.84,67.2,3,2,715,8.75,153,585093,405,4.3,360,9.2,0.569736679,0,2969,0,0,0,34,121,12,49,491,262,72,59,119,1,1,3,13,29,92,15.45133445,0,53,48,662,840,1400,320,130,90,360,230,860
Playter Estates-Danforth,288,2243,301,757,842668,162,75239,90,1,298,0.9,7655,3760,3890,355,420,365,355,375,600,630,320,590,680,640,600,525,470,220,175,140,200,7345,205,10,140,95,35,60,15,40,40,30,1135,725,2045,1065,78,313433.735,0.059229148,508,33020,487.68,34.48806774,206.1,0,37,67.11,72.07,13,2,192,2.6,103,842668,965,12.6,720,20.3,0.442350904,2,0,0,0,1,17,62,9,33,363,146,45,47,104,2,0,4,3,18,112,11.62757371,2725.333333,41,56,915,570,870,150,50,60,230,140,550
